ID,TYPE,NAME,ADDRESS,PHONE_NO,GPS_DATE,MAPNO,CANALMAP,GENLOC,CANALMAP2,INCLUDE,LEGEND_SYSTMAP
0,Paid Parking,Parking Area,,,,,0,Historic District,0,,
0,Parking (After Hrs),Parking Area,,,,,0,Historic District,0,,
1,Museum,Augusta Museum of History,560 Reynolds St,706-722-8454,,,6,Historic District,6,,
16,Statue,"James Brown Statue ""Godfather of Soul""",Broad St,,,S-1,28,Historic District,27,,
26,Historic,Old Academy of Richmond County,540 Telfair St,,,H-12,35,Historic District,33,,
6,Entertainment,Jessye Norman Amphitheater,15 8th ST,,,,29,Historic District,28,,
47,Historic,Confederate Powderworks Chimney at Sibley Mill,Goodrich St,,,,,,15,,
19,Historic,Miller Theater,708 Broad St,,,,33,Historic District,31,,
17,Monument,Confederate Monument,8th & Ellis St,,,,15,Historic District,14,,
23,Monument,Signers Monument,Monument St & Greene St,,,,46,Historic District,43,,
35,Info Center,The Augusta Metro Convention & Visitors Bureau,,,,,52,Historic District,49,,
11,Monument,Springfield Village Park,1202 Reynolds St,706-724-1056,,,48,Historic District,45,,
7,Monument,"Takarazuka, Japan's Gift to Augusta",Lower Level of Riverwalk - Between 9th &10th,,,,51,Historic District,48,,
45,Historic,Cedar Grove Cemetery,Watkins St & East Boundary St,,,,12,,0,,
42,Historic,Tabernacle Baptist Church,1223 Laney Walker Blvd,706-724-1230,,,50,,47,,
33,Historic,Old First Baptist Church/Southern Baptist Conv Monument,802 Greene St,,,,36,Historic District,34,,
,Access Point,Riverwalk Access,6th St,,,,,,0,,
,Access Point,Riverwalk Access,8th St,,,,,,0,,
,Access Point,Riverwalk Access,10th St,,,,,,0,,
,Monument,Emily Tubman Monument,629 Greene St,,,,17,,16,,
,Historic,First Christian Church,629 Greene St,706-722-2911,,,19,,18,,
,Historic,Union Baptist Church,1104 Greene St,,,,53,,50,,
,Historic,St. John United Methodist Church,736 Greene St,706-724-9641,,,49,,46,,
,Historic,Former Children of Isreal Synagogue (Planning Commission),525 Telfair St,706-821-1796,,,21,,20,,
,Monument,Poets Monument,700 Block of Greene St,,,,41,,38,,
,Historic,Holy Trinity Greek Orthodox Church,953 Telfair St,,,,26,,25,,
,Paid Parking,Parking Area,Reynolds St & 9th St,,,,,,,,
0,Parking,Parking Area,,,,,0,Historic District,0,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
,Parking,,,,,,,,,,
