FNAME,X_COORD,Y_COORD,ADDRRESS,OWNER,COMMDIST,MAP_NO,PIN,CDIST_NO,PARK_ID,AREA_CALC,ACRES_CALC,EMERGUSE,EMERGCAP,SHOWERS,BATHROOMS,KITCHEN,HANDICAPAC,ANIMALS,HRACCESS,TYPE,Contact_Ph,MAP_LEGEND,Website
HILLSIDE PARK,705586.811,1267734.6,2101 TELFAIR ST,CITY,1,9,035-1-083-00-0,9-Jan,HIL,62170.066,1.426572986,,,,,,,,,REC,706-796-5025,38,http://www.augustaga.gov/index.aspx?nid=645
JULIAN SMITH CASINO,704817.756,1269741.965,2205 BROAD ST,CITY,1,4,027-0-001-00-0,4-Jan,JSC,1243950.404,28.54405916,,,,,,,,,REC,706-821-2804,44,http://www.augustaga.gov/index.aspx?nid=645
HEPHZIBAH/CARROLL PARK,677875.394,1202423.813,4877 WINDSOR SPRING RD,CITY,8,3,249-0-039-02-0,3-Aug,HCP,560291.57,12.85661845,,,,,,,,,REC,706-592-2216,36,http://www.augustaga.gov/index.aspx?nid=645
ALEXANDER BARRETT PARK,698392.687,1267475.375,2629 ROYAL ST,CITY,1,1,034-1-240-01-0,1-Jan,ABP,4860.718,0.111535495,,,,,,,,,REC,706-796-5025,2,http://www.augustaga.gov/index.aspx?nid=645
MCBEAN COMMUNITY PARK,713700.542,1187041.276,1155 HEPHZIBAH-MCBEAN RD,CITY,8,4,337-0-001-01-0,4-Aug,MCB,934902.868,21.45256168,,,,,,,,,REC,706-560-2628,49,http://www.augustaga.gov/index.aspx?nid=645
DYESS PARK,715744.137,1261029.969,902 JAMES BROWN BLVD,CITY,1,14,046-4-253-00-0,14-Jan,DYE,305228.781,7.003871168,,,,,,,,,REC,706-821-2877,25,http://www.augustaga.gov/index.aspx?nid=645
JAMESTOWN COMMUNITY CENTER,670885.241,1232304.923,3647 KARLEEN RD,CITY,8,1,128-0-014-10-0,1-Aug,JCC,201143.669,4.615502961,,,,,,,,,REC,706-790-1805,40,http://www.augustaga.gov/index.aspx?nid=645
FLEMING ATHLETIC OFFICE,703230.343,1243374.338,1915 LUMPKIN RD,CITY,2,9,110-2-005-00-0,9-Feb,FAO,71430.427,1.639064001,,,,,,,,,REC,706-796-5047,29,http://www.augustaga.gov/index.aspx?nid=645
FLEMING TENNIS CENTER,703897.161,1245292.613,1850 CHESTER AVE,CITY,2,7,098-4-136-00-0,7-Feb,FTC,516620.109,11.85452,,,,,,,,,REC,706-796-5046,31,http://www.augustaga.gov/index.aspx?nid=645
GORDON LAKES,714799.926,1254390.074,1200 GORDON HIGHWAY,CITY,1,23,073-0-019-00-0,23-Jan,GOR,658518.089,15.11055362,,,,,,,,,REC,,33,http://www.augustaga.gov/index.aspx?nid=645
DOUGHTY PARK,706070.261,1253009.5,1200 NELLIEVILLE RD,CITY,2,5,072-3-349-00-0,5-Feb,DOU,82589.143,1.895115247,,,,,,,,,REC,706-724-2044,24,http://www.augustaga.gov/index.aspx?nid=645
CARRIE J MAYS PARK,708625.83,1254036.859,1014 11TH AVE,CITY,2,4,072-4-156-00-0,4-Feb,MAY,454871.524,10.43761845,,,,,,,,,REC,706-821-2827,18,http://www.augustaga.gov/index.aspx?nid=645
AUGUSTA AQUATICS CENTER,692223.86,1260619.719,3157 DAMASCUS RD,CITY,5,2,043-3-004-00-0,2-May,AAC,283163.812,6.49756178,,,,,,,,,REC,706-261-0424,4,http://www.augustaga.gov/index.aspx?nid=645
AUGUSTA SOCCER PARK,671983.685,1265406.15,3200 MADDOX RD,CITY,3,1,029-0-007-02-0,1-Mar,ACP,1262328.034,28.96575777,,,,,,,,,REC,706-854-0149,7,http://www.augustaga.gov/index.aspx?nid=645
THE BOATHOUSE,724151.136,1262056.698,101 RIVERFRONT DR,CITY,1,21,048-3-071-00-0,21-Jan,BTH,215136.661,4.936590368,,,,,,,,,REC,706-821-2870,62,http://www.augustaga.gov/index.aspx?nid=645
M.M. SCOTT PARK,668476.305,1256225.95,1601 FLAGLER RD,CITY,3,3,052-0-096-00-0,3-Mar,MMS,483217.179,11.08804636,,,,,,,,,REC,706-796-5025,47,http://www.augustaga.gov/index.aspx?nid=645
BAURLE BOAT LANDING,723177.279,1225115.172,2116 LOCK AND DAM RD,CITY,1,25,159-0-002-00-0,25-Jan,BBL,585720.539,13.44011921,,,,,,,,,REC,706-796-5025,8,http://www.augustaga.gov/index.aspx?nid=645
ELLIOT PARK,700679.292,1243663.205,2077 LUMPKIN ROAD,CITY,2,11,110-1-019-00-0,11-Feb,ELL,241519.664,5.541982669,,,,,,,,,REC,706-796-5025,28,http://www.augustaga.gov/index.aspx?nid=645
W. T. JOHNSON COMMUNITY CENTER,709538.934,1259405.382,1606 HUNTER ST,CITY,2,2,058-2-135-00-0,2-Feb,WTJ,152009.944,3.488065787,,,,,,,,,REC,706-821-2866,63,http://www.augustaga.gov/index.aspx?nid=645
JONES POOL,709873.746,1257689.83,1617 HOLLEY ST,CITY,2,3,058-4-188-01-0,3-Feb,JPL,20006.895,0.459084224,,,,,,,,,REC,706-796-5025,42,http://www.augustaga.gov/index.aspx?nid=645
GARRETT GYMNASIUM,703101.625,1276695.625,1100 EISENHOWER DR,CITY,7,3,013-4-274-00-0,3-Jul,GGP,334207.984,7.668836653,,,,,,,,,REC,706-821-1775,32,http://www.augustaga.gov/index.aspx?nid=645
A.L. WILLIAMS PARK,708237.016,1267712.264,1850 BROAD ST,CITY,1,10,035-2-575-00-0,10-Jan,AWP,8392.741,0.192582357,,,,,,,,,REC,706-796-5025,1,http://www.augustaga.gov/index.aspx?nid=645
LAKE OLMSTEAD PARK,705174.164,1269429.577,2205 BROAD ST,CITY,1,5,027-0-001-00-0,5-Jan,LOP,1243950.404,28.54405916,,,,,,,,,REC,706-796-5025,45,http://www.augustaga.gov/index.aspx?nid=645
SAND HILLS PARK,699874.233,1266724.21,2540 WHEELER RD,CITY,1,3,034-1-318-00-0,3-Jan,SHL,6825.771,0.156626184,,,,,,,,,REC,706-842-1912,59,http://www.augustaga.gov/index.aspx?nid=645
APPLE VALLEY PARK,707559.745,1234712.581,1725 MARVIN GRIFFIN RD,CITY,2,12,134-2-099-00-0,12-Feb,AVP,299758.287,6.878343573,,,,,,,,,REC,706-796-5025,3,http://www.augustaga.gov/index.aspx?nid=645
BROOKFIELD PARK,690347.292,1280783.942,2740 MAYO RD,CITY,7,1,006-0-015-00-0,1-Jul,BRP,279845.774,6.421425092,,,,,,,,,REC,706-796-5025,17,http://www.augustaga.gov/index.aspx?nid=645
MAY PARK,719812.875,1260693.5,622 FOURTH ST,CITY,1,20,047-4-451-00-0,20-Jan,MAY,518086.254,11.88816262,Y,400,Y,Y,Y,Y,N,N,REC,706-724-0504,48,http://www.augustaga.gov/index.aspx?nid=645
RIVERWALK AUGUSTA,718020.339,1265240.932,5TH / RIVERWALK,CITY,1,17,036-1-171-01-0,17-Jan,RVW,108585.396,2.491633067,,,,,,,,,RENT,706-821-2426,57,http://www.augustaga.gov/index.aspx?nid=645
JESSYE NORMAN AMPHITHEATER,717404.941,1265614.984,15 EIGHTH ST,CITY,1,16,037-3-001-05-0,16-Jan,JES,134179.893,3.07893207,,,,,,,,,RENT,706-821-1754,41,http://www.augustaga.gov/index.aspx?nid=645
PENDLETON KING PARK,703375.05,1258915.988,1600 TROUPE ST,CITY,2,1,057-2-089-00-0,1-Feb,PKP,2783405.229,63.86885141,,,,,,,,,REC,706-796-5025,55,http://www.augustaga.gov/index.aspx?nid=645
RIVERWALK MARINA,719361.145,1264664.412,1 5TH ST,CITY,1,18,037-4-001-03-0,18-Jan,RVM,15901.006,0.364869246,,,,,,,,,RENT,706-722-1388,58,http://www.augustaga.gov/index.aspx?nid=645
LOCK & DAM PARK,724539.558,1227301.381,2105 LOCK AND DAM RD,US ARMY,1,24,160-0-003-00-0,24-Jan,LDP,1340512.89,30.75981093,,,,,,,,,REC,706-796-5025,46,http://www.augustaga.gov/index.aspx?nid=645
BEDFORD HEIGHTS PARK,705292.437,1274173.06,1016 CAMELLIA DR,CITY,7,4,020-1-140-00-0,4-Jul,BHP,81349.437,1.866668596,,,,,,,,,REC,706-796-5025,10,http://www.augustaga.gov/index.aspx?nid=645
JULIAN SMITH BARBEQUE PIT,705936.815,1270776.399,3 MILLEDGE RD,CITY,1,6,027-0-001-00-0,6-Jan,JSB,1243950.404,28.54405916,,,,,,,,,REC,706-821-2804,43,http://www.augustaga.gov/index.aspx?nid=645
NEWMAN TENNIS CENTER,692368.045,1262637.13,3103 WRIGHTSBORO RD,CITY,3,6,043-1-001-01-0,6-Mar,NTC,340451.745,7.81210787,,,,,,,,,REC,706-821-1600,53,http://www.augustaga.gov/index.aspx?nid=645
AUGUSTA COMMON,717362.313,1264585.659,836 REYNOLDS ST,CITY,1,15,037-3-102-00-0,15-Jan,AGC,90085.896,2.067137994,,,,,,,,,RENT,706-821-1754,5,http://www.augustaga.gov/index.aspx?nid=645
BLYTHE AREA RECREATION CENTER,655887.008,1206752.122,3129 HIGHWAY 88,CITY,8,2,223-0-036-00-0,2-Aug,BRC,1519930.614,34.87678384,,,,,,,,,REC,706-592-4988,15,http://www.augustaga.gov/index.aspx?nid=645
OLD GOVERNMENT HOUSE,719405.899,1261947.714,432 TELFAIR ST,CITY,1,19,047-4-163-00-0,19-Jan,OGH,39045.453,0.895948685,,,,,,,,,RENT,706-821-1812,54,http://www.augustaga.gov/index.aspx?nid=645
BETHLEHEM COMMUNITY CENTER,710979.861,1259178.263,1336 CONKLIN AVE,PRIVATE,,,059-1-339-00-0,,,,,,,,,,,,,,706-722-0086,12,http://www.augustaga.gov/index.aspx?nid=645
DIAMOND LAKES PARK,679178.028,1219515.586,4335 WINDSOR SPRING RD,CITY,4,4,178-0-008-00-0,4-Apr,DIA,9694026.004,222.4420289,,,,,,,,,REC,706-771-2980,22,http://www.augustaga.gov/index.aspx?nid=645
DIAMOND LAKES TENNIS CENTER,679178.028,1219515.586,102 DIAMONG LAKES WAY,CITY,4,4,178-0-008-00-0,4-Apr,DIA,9694026.004,222.4420289,,,,,,,,,REC,706-772-4913,23,http://www.augustaga.gov/index.aspx?nid=645
DIAMOND LAKES CENTER,679178.028,1219515.586,103 DIAMOND LAKES WAY,CITY,4,4,178-0-008-00-0,4-Apr,DIA,9694026.004,222.4420289,,,,,,,,,REC,706-772-2418,21,http://www.augustaga.gov/index.aspx?nid=645
DIAMOND LAKES ATHLETIC OFFICE,679178.028,1219515.586,108 DIAMOND LAKES WAY,CITY,4,4,178-0-008-00-0,4-Apr,DIA,9694026.004,222.4420289,,,,,,,,,REC,706-772-2418,20,http://www.augustaga.gov/index.aspx?nid=645
